first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Brendan,Boyle,Budget,,N00035307,H4PA13199,B001296,,,,,,H4PA13199
Brendan,Boyle,Ways & Means,,N00035307,H4PA13199,B001296,,,,,,H4PA13199
Josh,Brecheen,Budget,,N00051106,H2OK02315,B001317,,,,,,H2OK02315
Josh,Brecheen,Homeland Security,,N00051106,H2OK02315,B001317,,,,,,H2OK02315
Robert,Bresnahan,Agriculture,,,H4PA08124,B001327,,,,,,
Robert,Bresnahan,Small Business,,,H4PA08124,B001327,,,,,,
Robert,Bresnahan,Transportation & Infrastructure,,,H4PA08124,B001327,,,,,,
Katie,Britt,Commission on Security & Cooperation in Europe,,N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on Appropriations,"Subcommittee on Commerce, Justice, Science, & Related Agencies",N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on Appropriations,Subcommittee on Dept of Homeland Security,N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on Appropriations,"Subcommittee on Depts of Labor, Health & Human Services, & Education, & Related Agencies",N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on Appropriations,Subcommittee on Energy & Water Development,N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on Appropriations,"Subcommittee on State, Foreign Operations, & Related Programs",N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on Appropriations,"Subcommittee on Transportation, Housing & Urban Development, & Related Agencies",N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,"Committee on Banking, Housing, & Urban Affairs",Subcommittee on Financial Institutions & Consumer Protection,N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,"Committee on Banking, Housing, & Urban Affairs","Subcommittee on Housing, Transportation, & Community Development",N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,"Committee on Banking, Housing, & Urban Affairs","Subcommittee on Securities, Insurance, & Investment",N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on Rules & Administration,,N00048812,S2AL00145,B001319,,,,,,S2AL00145
Katie,Britt,Committee on The Judiciary,"Subcommittee on Antitrust, Competition Policy, & Consumer Rights",N00048812,S2AL00145,B001319,,,,,,S2AL00145
