first_name,last_name,committee,subcommittee,cid,fec_id,bioguide_id,,,,,,fec_id_prev
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on Intellectual Property,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law",,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on the Judiciary,Subcommittee on the Constitution,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Committee on Veterans' Affairs,,,S8TN00337,B001243,,,,,,
Marsha,Blackburn,Joint Economic Committee,,,S8TN00337,B001243,,,,,,
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Airland,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Personnel,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Armed Services,Subcommittee on Seapower,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,Permanent Subcommittee on Investigations,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Homeland Security and Governmental Affairs,"Subcommittee on Disaster Management, District of Columbia, and Census",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Antitrust, Competition Policy, and Consumer Rights",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Federal Courts, Oversight, Agency Action, and Federal Rights",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law",N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,Committee on Veterans' Affairs,,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Richard,Blumenthal,United States Senate Caucus on International Narcotics Control,,N00031685,S0CT00177,B001277,,,,,,S0CT00177
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Economic Policy,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Coast Guard, Maritime, and Fisheries",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Consumer Protection, Technology, and Data Privacy",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation","Subcommittee on Science, Manufacturing, and Competitiveness",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Commerce, Science, and Transportation",Subcommittee on Telecommunications and Media,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Chemical Safety, Waste Management, Environmental Justice, and Regulatory Oversight",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety",,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Education and the American Family,,S4DE00060,B001303,,,,,,
Lisa,Blunt Rochester,"Committee on Health, Education, Labor, and Pensions",Subcommittee on Primary Health and Retirement Security,,S4DE00060,B001303,,,,,,
Lauren,Boebert,Natural Resources,,N00045974,H0CO03165,B000825,,,,,,H0CO03165
Lauren,Boebert,Oversight and Government Reform,,N00045974,H0CO03165,B000825,,,,,,H0CO03165
Suzanne,Bonamici,Education and Workforce,,N00033474,H2OR01133,B001278,,,,,,H2OR01133
Suzanne,Bonamici,"Science, Space, and Technology",,N00033474,H2OR01133,B001278,,,,,,H2OR01133
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Commodities, Derivatives, Risk Management, and Trade",,,B001288,,,,,,
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Food and Nutrition, Specialty Crops, Organics, and Research",,,B001288,,,,,,
Cory,Booker,"Committee on Agriculture, Nutrition, and Forestry","Subcommittee on Livestock, Dairy, Poultry, and Food Safety",,,B001288,,,,,,
Cory,Booker,Committee on Foreign Relations,Subcommittee on Africa and Global Health Policy,,,B001288,,,,,,
Cory,Booker,Committee on Foreign Relations,Subcommittee on Europe and Regional Security Cooperation,,,B001288,,,,,,
