first_name,last_name,committee,subcommittee
John,Cornyn,Committee on Foreign Relations,"Subcommittee on Western Hemisphere, Transnational Crime, Civilian Security, Democracy, Human Rights, and Global Women's Issues"
John,Cornyn,Committee on the Budget,
John,Cornyn,Committee on the Judiciary,Subcommittee on Border Security and Immigration
John,Cornyn,Committee on the Judiciary,Subcommittee on Crime and Counterterrorism
John,Cornyn,Committee on the Judiciary,"Subcommittee on Privacy, Technology, and the Law"
John,Cornyn,Committee on the Judiciary,Subcommittee on the Constitution
John,Cornyn,Joint Committee on Taxation,
John,Cornyn,Select Committee on Intelligence,
John,Cornyn,United States Senate Caucus on International Narcotics Control,
J.,Correa,Homeland Security,
J.,Correa,Judiciary,
Catherine,Cortez Masto,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Catherine,Cortez Masto,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on National Security and International Trade and Finance
Catherine,Cortez Masto,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Catherine,Cortez Masto,Committee on Energy and Natural Resources,Subcommittee on Energy
Catherine,Cortez Masto,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining"
Catherine,Cortez Masto,Committee on Energy and Natural Resources,Subcommittee on Water and Power
Catherine,Cortez Masto,Committee on Finance,Subcommittee on Health Care
Catherine,Cortez Masto,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
Catherine,Cortez Masto,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy"
Catherine,Cortez Masto,Committee on Indian Affairs,
Jim,Costa,Agriculture,
Jim,Costa,Foreign Affairs,
Tom,Cotton,Committee on Armed Services,Subcommittee on Airland
Tom,Cotton,Committee on Armed Services,Subcommittee on Cybersecurity
Tom,Cotton,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities
Tom,Cotton,Committee on Armed Services,Subcommittee on Strategic Forces
Tom,Cotton,Committee on Energy and Natural Resources,Subcommittee on Energy
Tom,Cotton,Committee on Energy and Natural Resources,"Subcommittee on Public Lands, Forests, and Mining"
Tom,Cotton,Joint Economic Committee,
Tom,Cotton,Select Committee on Intelligence,
Joe,Courtney,Armed Services,
Joe,Courtney,Education and Workforce,
Angie,Craig,Agriculture,
Kevin,Cramer,Committee on Armed Services,Subcommittee on Airland
Kevin,Cramer,Committee on Armed Services,Subcommittee on Emerging Threats and Capabilities
Kevin,Cramer,Committee on Armed Services,Subcommittee on Readiness and Management Support
Kevin,Cramer,Committee on Armed Services,Subcommittee on Strategic Forces
Kevin,Cramer,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Kevin,Cramer,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Kevin,Cramer,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Kevin,Cramer,Committee on Environment and Public Works,"Subcommittee on Clean Air, Climate, and Nuclear Innovation and Safety"
Kevin,Cramer,Committee on Environment and Public Works,"Subcommittee on Fisheries, Wildlife, and Water"
Kevin,Cramer,Committee on Environment and Public Works,Subcommittee on Transportation and Infrastructure
Kevin,Cramer,Committee on Veterans' Affairs,
Elijah,Crane,Homeland Security,
Elijah,Crane,Oversight and Government Reform,
Jeff,Crank,Armed Services,
Jeff,Crank,Natural Resources,
Mike,Crapo,"Committee on Banking, Housing, and Urban Affairs",Subcommittee on Financial Institutions and Consumer Protection
Mike,Crapo,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Housing, Transportation, and Community Development"
Mike,Crapo,"Committee on Banking, Housing, and Urban Affairs","Subcommittee on Securities, Insurance, and Investment"
Mike,Crapo,Committee on Finance,"Subcommittee on Energy, Natural Resources, and Infrastructure"
Mike,Crapo,Committee on Finance,Subcommittee on Fiscal Responsibility and Economic Growth
Mike,Crapo,Committee on Finance,Subcommittee on Health Care
Mike,Crapo,Committee on Finance,"Subcommittee on International Trade, Customs, and Global Competitiveness"
Mike,Crapo,Committee on Finance,"Subcommittee on Social Security, Pensions, and Family Policy"
Mike,Crapo,Committee on Finance,Subcommittee on Taxation and IRS Oversight
Mike,Crapo,Committee on the Budget,
